batch_size,run,total_cpu_time (seconds),total_cpu_memory (MB),throughput_bps,total_bits,num_worlds,total_duration (s),inference_duration (s)
32,1,8.38,732937.88,272290461.54,8601655680.0,41.0,39.2,31.59
32,2,8.12,732938.32,256919225.81,8601655680.0,41.0,38.12,33.48
32,3,8.28,732938.08,221635034.27,8601655680.0,41.0,47.25,38.81
32,mean,8.26,732938.09,250281573.87,8601655680.0,41.0,41.52,34.63
64,1,6.29,732600.06,294174270.86,8601655680.0,41.0,33.78,29.24
64,2,6.41,732598.83,363245594.59,8601655680.0,41.0,28.03,23.68
64,3,6.34,732597.78,351662129.19,8601655680.0,41.0,29.57,24.46
64,mean,6.35,732598.89,336360664.88,8601655680.0,41.0,30.46,25.79
128,1,5.87,732469.39,445450837.91,8601655680.0,41.0,23.65,19.31
128,2,5.89,732471.43,448002900.0,8601655680.0,41.0,30.61,19.2
128,3,6.07,732469.17,360807704.7,8601655680.0,41.0,28.19,23.84
128,mean,5.94,732470.0,418087147.54,8601655680.0,41.0,27.48,20.78
256,1,5.72,732487.03,488452906.3,8601655680.0,41.0,22.04,17.61
256,2,5.59,732488.05,522262032.79,8601655680.0,41.0,20.91,16.47
256,3,5.63,732488.06,499515428.57,8601655680.0,41.0,21.55,17.22
256,mean,5.65,732487.71,503410122.55,8601655680.0,41.0,21.5,17.1
512,1,5.96,732451.54,534264327.95,8601655680.0,41.0,21.44,16.1
512,2,6.06,732451.5,542349034.05,8601655680.0,41.0,20.87,15.86
512,3,6.02,732451.5,549626561.02,8601655680.0,41.0,20.06,15.65
512,mean,6.01,732451.51,542079974.34,8601655680.0,41.0,20.79,15.87
