batch_size,run,total_cpu_time (seconds),total_cpu_memory (MB),throughput_bps,total_bits
32,1,8.38,732937.88,1023865553.02,8601655680.0
32,2,8.12,732938.32,1046895973.6,8601655680.0
32,3,8.28,732938.08,995278918.07,8601655680.0
32,mean,8.26,732938.09,1022013481.56,8601655680.0
64,1,6.29,732600.06,1325308370.86,8601655680.0
64,2,6.41,732598.83,1290928010.61,8601655680.0
64,3,6.34,732597.78,1302484847.89,8601655680.0
64,mean,6.35,732598.89,1306240409.79,8601655680.0
128,1,5.87,732469.39,1428540904.28,8601655680.0
128,2,5.89,732471.43,1407371130.37,8601655680.0
128,3,6.07,732469.17,1347857032.08,8601655680.0
128,mean,5.94,732469.99,1394589688.91,8601655680.0
256,1,5.72,732487.03,1475607821.15,8601655680.0
256,2,5.59,732488.05,1493067334.37,8601655680.0
256,3,5.63,732488.06,1464519397.83,8601655680.0
256,mean,5.65,732487.71,1477731517.78,8601655680.0
512,1,5.96,732451.54,1384664216.6,8601655680.0
512,2,6.06,732451.5,1401839039.08,8601655680.0
512,3,6.02,732451.5,1390971561.09,8601655680.0
512,mean,6.01,732451.51,1392491605.59,8601655680.0
