partition (MB),data (GB),run,total_cpu_time (seconds),total_cpu_memory (MB),throughput_bps,total_bits
25,1.0,1,5.6,732451.57,1506039734.24,8601655680.0
25,1.0,2,5.73,732451.57,1435889305.47,8601655680.0
25,1.0,3,5.51,714586.74,1491960694.89,8391859200.0
25,1.0,mean,5.61,726496.63,1477963244.87,8531723520.0
25,2.0,1,6.95,1429164.26,2330823225.96,16783718400.0
25,2.0,2,5.49,1429172.11,2891134061.06,16783718400.0
25,2.0,3,7.04,1429173.8,2336041144.83,16783718400.0
25,2.0,mean,6.49,1429170.06,2519332810.62,16783718400.0
25,4.0,1,7.02,2858347.61,4809816554.77,33567436800.0
25,4.0,2,7.1,2858347.34,4489569028.77,33567436800.0
25,4.0,3,5.66,2858343.21,5652493891.04,33567436800.0
25,4.0,mean,6.6,2858346.05,4983959824.86,33567436800.0
25,6.0,1,6.47,4287512.59,7637104736.99,50351155200.0
25,6.0,2,5.69,4287520.26,8464790030.73,50351155200.0
25,6.0,3,6.14,4287520.2,7992603896.46,50351155200.0
25,6.0,mean,6.1,4287517.68,8031499554.73,50351155200.0
25,8.0,1,7.13,5716693.67,9190694282.19,67134873600.0
25,8.0,2,5.83,5716693.74,11074589728.1,67134873600.0
25,8.0,3,6.46,5859610.12,10548195805.38,68813245440.0
25,8.0,mean,6.47,5764332.51,10271159938.56,67694330880.0
25,10.0,1,6.63,7145863.5,12415350922.27,83918592000.0
25,10.0,2,5.98,7145867.43,13410388769.53,83918592000.0
25,10.0,3,5.67,7145850.82,14135299200.3,83918592000.0
25,10.0,mean,6.09,7145860.58,13320346297.37,83918592000.0
25,12.6,1,5.83,9223333.95,17677332262.1,108315558720.0
25,12.6,2,5.64,9223325.48,18218459585.61,108315558720.0
25,12.6,3,5.64,9223316.69,18215010667.82,108315558720.0
25,12.6,mean,5.7,9223325.37,18036934171.84,108315558720.0
50,1.0,1,12.4,750306.9,698255045.67,8811452160.0
50,1.0,2,10.91,750306.9,777158561.66,8811452160.0
50,1.0,3,11.3,750306.9,786489877.49,8811452160.0
50,1.0,mean,11.54,750306.9,753967828.27,8811452160.0
50,2.0,1,10.95,1464883.82,1529326250.27,17203311360.0
50,2.0,2,11.08,1464884.82,1507922818.02,17203311360.0
50,2.0,3,10.93,1464883.84,1521960979.37,17203311360.0
50,2.0,mean,10.99,1464884.16,1519736682.55,17203311360.0
50,4.0,1,11.61,2929769.75,2914533887.02,34406622720.0
50,4.0,2,10.45,2929768.74,3188730288.56,34406622720.0
50,4.0,3,10.45,2929769.79,3198534544.82,34406622720.0
50,4.0,mean,10.84,2929769.42,3100599573.47,34406622720.0
50,6.0,1,11.98,4394652.41,4229920930.88,51609934080.0
50,6.0,2,10.88,4394654.33,4516832895.73,51609934080.0
50,6.0,3,11.07,4394652.15,4447854698.97,51609934080.0
50,6.0,mean,11.31,4394652.96,4398202841.86,51609934080.0
50,8.0,1,11.75,5859531.01,5760865476.95,68813245440.0
50,8.0,2,10.85,5859539.27,6091499120.54,68813245440.0
50,8.0,3,10.54,5859530.77,6232841092.77,68813245440.0
50,8.0,mean,11.05,5859533.69,6028401896.76,68813245440.0
50,10.0,1,10.95,7293858.39,7594455077.99,85657538880.0
50,10.0,2,10.57,7293851.24,7869399544.47,85657538880.0
50,10.0,3,11.0,7293838.2,7491927533.26,85657538880.0
50,10.0,mean,10.84,7293849.28,7651927385.24,85657538880.0
50,12.6,1,11.08,9223219.93,9574353062.05,108315558720.0
50,12.6,2,10.58,9223209.23,9768186067.55,108315558720.0
50,12.6,3,10.63,9223217.53,9757517175.47,108315558720.0
50,12.6,mean,10.77,9223215.56,9700018768.36,108315558720.0
75,1.0,1,15.98,750162.63,523409353.26,8811452160.0
75,1.0,2,15.78,750161.72,514448887.16,8811452160.0
75,1.0,3,16.71,750161.82,505693482.01,8811452160.0
75,1.0,mean,16.16,750162.06,514517240.81,8811452160.0
75,2.0,1,18.16,1500320.65,856635699.22,17622904320.0
75,2.0,2,17.44,1500319.39,908753404.0,17622904320.0
75,2.0,3,18.72,1500320.66,866725744.21,17622904320.0
75,2.0,mean,18.11,1500320.23,877371615.81,17622904320.0
75,4.0,1,17.81,2947037.87,1780260474.07,34616419200.0
75,4.0,2,16.36,2947064.21,1911796494.94,34616419200.0
75,4.0,3,17.72,2947056.45,1818250987.56,34616419200.0
75,4.0,mean,17.3,2947052.84,1836769318.86,34616419200.0
75,6.0,1,16.44,4393795.05,2911457180.98,51609934080.0
75,6.0,2,15.62,4393787.3,3017471917.68,51609934080.0
75,6.0,3,15.88,4393792.71,2976844889.91,51609934080.0
75,6.0,mean,15.98,4393791.69,2968591329.52,51609934080.0
75,8.0,1,16.34,5845698.7,3997140074.57,68664024000.0
75,8.0,2,17.12,5845706.43,3891725224.08,68664024000.0
75,8.0,3,15.71,5845714.34,4217788589.32,68664024000.0
75,8.0,mean,16.39,5845706.49,4035551295.99,68664024000.0
75,10.0,1,16.3,7292455.3,5097214867.72,85657538880.0
75,10.0,2,15.6,7292452.12,5281963805.43,85657538880.0
75,10.0,3,15.62,7292441.36,5222073809.58,85657538880.0
75,10.0,mean,15.84,7292449.6,5200417494.24,85657538880.0
75,12.6,1,16.17,9221429.96,6520498041.64,108315558720.0
75,12.6,2,15.52,9221419.58,6716486862.32,108315558720.0
75,12.6,3,15.45,9221430.11,6732516969.25,108315558720.0
75,12.6,mean,15.71,9221426.55,6656500624.4,108315558720.0
100,1.0,1,23.89,786073.94,361367150.45,9232850880.0
100,1.0,2,20.22,786074.01,422470286.3,9232850880.0
100,1.0,3,20.4,786056.26,426034605.58,9232850880.0
100,1.0,mean,21.5,786068.07,403290680.78,9232850880.0
100,2.0,1,22.22,1500683.65,774301728.28,17626351680.0
100,2.0,2,20.11,1500686.95,836498478.32,17626351680.0
100,2.0,3,20.17,1500686.92,839642585.72,17626351680.0
100,2.0,mean,20.83,1500685.84,816814264.11,17626351680.0
100,4.0,1,22.36,2861798.79,1523277271.15,33613401600.0
100,4.0,2,20.36,2861810.24,1652220480.37,33613401600.0
100,4.0,3,20.24,2861810.27,1664511065.69,33613401600.0
100,4.0,mean,20.98,2861806.43,1613336272.4,33613401600.0
100,6.0,1,21.59,4362497.09,2363561908.29,51239753280.0
100,6.0,2,20.56,4362488.87,2458087449.22,51239753280.0
100,6.0,3,20.59,4362496.07,2469512100.32,51239753280.0
100,6.0,mean,20.91,4362494.01,2430387152.61,51239753280.0
100,8.0,1,21.23,5791721.62,3213539917.1,68026754880.0
100,8.0,2,20.55,5791721.78,3239066345.62,68026754880.0
100,8.0,3,20.29,5791721.91,3312624275.72,68026754880.0
100,8.0,mean,20.69,5791721.77,3255076846.15,68026754880.0
100,10.0,1,21.08,7292408.37,4013301928.84,85653106560.0
100,10.0,2,20.68,7292406.51,4097399636.08,85653106560.0
100,10.0,3,20.3,7292407.51,4184352559.18,85653106560.0
100,10.0,mean,20.68,7292407.46,4098351374.7,85653106560.0
100,12.6,1,21.64,9221855.83,4999093182.77,108315558720.0
100,12.6,2,20.76,9221864.19,5143623158.45,108315558720.0
100,12.6,3,20.57,9221855.83,5221138442.69,108315558720.0
100,12.6,mean,20.99,9221858.61,5121284927.97,108315558720.0
100,100.0,1,22.63,69701545.4,35358021908.01,818681515200.0
100,100.0,2,24.66,69701563.39,33082305798.96,818681515200.0
100,100.0,3,21.13,69701537.23,36972733963.65,818681515200.0
100,100.0,mean,22.8,69701548.67,35137687223.54,818681515200.0
100,1000.0,1,21.98,70984495.7,36459662625.38,833750418240.0
100,1000.0,2,22.88,70984521.62,35143342356.21,833750418240.0
100,1000.0,3,23.68,70984507.46,34398704316.06,833750418240.0
100,1000.0,mean,22.85,70984508.26,35333903099.22,833750418240.0
