Processor,Dataset size ,batch size,throughput,average throughput,,,,,,
Personal Laptop,1GB,32,10441812.84,9.34E+06,,,,,,
Personal Laptop,1GB,32,7050117.785,,,,,,,
Personal Laptop,1GB,32,10541437.13,,,,,,,
Personal Laptop,1GB,64,11813330.59,1.19E+07,,,,,,
Personal Laptop,1GB,64,11952946.72,,,,,,,
Personal Laptop,1GB,64,11852075.96,,,,,,,
Personal Laptop,1GB,128,11951895.3,1.19E+07,,,,,,
Personal Laptop,1GB,128,11735875.28,,,,,,,
Personal Laptop,1GB,128,11912694.85,,,,,,,
Personal Laptop,1GB,256,11590291.35,1.16E+07,,,,,,
Personal Laptop,1GB,256,11587204.75,,,,,,,
Personal Laptop,1GB,256,11611173.16,,,,,,,
Personal Laptop,1GB,512,11467875.22,1.15E+07,,,,,,
Personal Laptop,1GB,512,11526618.89,,,,,,,
Personal Laptop,1GB,512,11467289.63,,,,,,,
Dell XPS Server,1GB,32,23509454.73,2.38E+07,,Rivanna HPC CPU,1GB,32,7156349.819,7095878.599
Dell XPS Server,1GB,32,23374151.75,,,Rivanna HPC CPU,1GB,32,7177755.862,
Dell XPS Server,1GB,32,24519620.44,,,Rivanna HPC CPU,1GB,32,6953530.114,
Dell XPS Server,1GB,64,37800671.81,3.74E+07,,Rivanna HPC CPU,1GB,64,615659.5295,17131180.77
Dell XPS Server,1GB,64,37367223.4,,,Rivanna HPC CPU,1GB,64,50260901.73,
Dell XPS Server,1GB,64,37089329.27,,,Rivanna HPC CPU,1GB,64,516981.0532,
Dell XPS Server,1GB,128,48205905.77,4.72E+07,,Rivanna HPC CPU,1GB,128,68226728.86,39845877.29
Dell XPS Server,1GB,128,46780020.01,,,Rivanna HPC CPU,1GB,128,31260571.38,
Dell XPS Server,1GB,128,47047861.67,,,Rivanna HPC CPU,1GB,128,20050331.63,
Dell XPS Server,1GB,128,47338417.33,,,Rivanna HPC CPU,1GB,256,85639371.88,57969485.79
Dell XPS Server,1GB,128,46581168.33,,,Rivanna HPC CPU,1GB,256,86430891.85,
Dell XPS Server,1GB,256,45617184.93,4.57E+07,,Rivanna HPC CPU,1GB,256,1838193.635,
Dell XPS Server,1GB,256,45500207.42,,,Rivanna HPC CPU,1GB,512,78021205.75,74601819.43
Dell XPS Server,1GB,256,46134937.64,,,Rivanna HPC CPU,1GB,512,77628013.66,
Dell XPS Server,1GB,256,45425793.25,,,Rivanna HPC CPU,1GB,512,68156238.89,
Dell XPS Server,1GB,256,46050463.91,,,,,,,
Dell XPS Server,1GB,512,41537269.21,4.08E+07,,,,,,
Dell XPS Server,1GB,512,39223157.88,,,,,,,
Dell XPS Server,1GB,512,40980016.64,,,,,,,
Dell XPS Server,1GB,512,41048116.76,,,,,,,
Dell XPS Server,1GB,512,41071522.34,,,,,,,
Rivanna HPC GPU,1GB,32,56339413.53,5.66E+07,,,,,,
Rivanna HPC GPU,1GB,32,56832189.7,,,,,,,
Rivanna HPC GPU,1GB,32,56674854.09,,,,,,,
Rivanna HPC GPU,1GB,64,100225887.4,1.05E+08,,,,,,
Rivanna HPC GPU,1GB,64,100395655.7,,,,,,,
Rivanna HPC GPU,1GB,64,114550022.4,,,,,,,
Rivanna HPC GPU,1GB,128,169514016.9,1.92E+08,,,,,,
Rivanna HPC GPU,1GB,128,182263492.9,,,,,,,
Rivanna HPC GPU,1GB,128,225497804.4,,,,,,,
Rivanna HPC GPU,1GB,256,421231277,4.20E+08,,,,,,
Rivanna HPC GPU,1GB,256,428892304.9,,,,,,,
Rivanna HPC GPU,1GB,256,410452140.2,,,,,,,
Rivanna HPC GPU,1GB,512,476628025.2,6.07E+08,,,,,,
Rivanna HPC GPU,1GB,512,717758646.1,,,,,,,
Rivanna HPC GPU,1GB,512,626736968.1,,,,,,,
Rivanna HPC CPU,1GB,32,7156349.819,7.10E+06,,,,,,
Rivanna HPC CPU,1GB,32,7177755.862,,,,,,,
Rivanna HPC CPU,1GB,32,6953530.114,,,,,,,
Rivanna HPC CPU,1GB,64,615659.5295,1.71E+07,,,,,,
Rivanna HPC CPU,1GB,64,50260901.73,,,,,,,
Rivanna HPC CPU,1GB,64,516981.0532,,,,,,,
Rivanna HPC CPU,1GB,128,68226728.86,3.98E+07,,,,,,
Rivanna HPC CPU,1GB,128,31260571.38,,,,,,,
Rivanna HPC CPU,1GB,128,20050331.63,,,,,,,
Rivanna HPC CPU,1GB,256,85639371.88,5.80E+07,,,,,,
Rivanna HPC CPU,1GB,256,86430891.85,,,,,,,
Rivanna HPC CPU,1GB,256,1838193.635,,,,,,,
Rivanna HPC CPU,1GB,512,78021205.75,7.46E+07,,,,,,
Rivanna HPC CPU,1GB,512,77628013.66,,,,,,,
Rivanna HPC CPU,1GB,512,68156238.89,,,,,,,
CAI,1GB,32,272290461.5,2.50E+08,,,,,,
CAI,1GB,32,256919225.8,,,,,,,
CAI,1GB,32,221635034.3,,,,,,,
CAI,1GB,64,294174270.9,3.36E+08,,,,,,
CAI,1GB,64,363245594.6,,,,,,,
CAI,1GB,64,351662129.2,,,,,,,
CAI,1GB,128,445450837.9,4.18E+08,,,,,,
CAI,1GB,128,448002900,,,,,,,
CAI,1GB,128,360807704.7,,,,,,,
CAI,1GB,256,488452906.3,5.03E+08,,,,,,
CAI,1GB,256,522262032.8,,,,,,,
CAI,1GB,256,499515428.6,,,,,,,
CAI,1GB,512,534264328,5.42E+08,,,,,,
CAI,1GB,512,542349034.1,,,,,,,
CAI,1GB,512,549626561,,,,,,,
